iter	Passed	Remaining
414	3060	4314
415	3067	4306
416	3075	4299
417	3083	4292
418	3089	4284
419	3096	4276
420	3103	4268
421	3111	4261
422	3118	4253
423	3125	4246
424	3132	4238
425	3139	4230
426	3147	4223
427	3154	4215
428	3161	4207
429	3168	4200
430	3175	4192
431	3182	4184
432	3189	4176
433	3195	4168
434	3202	4159
435	3209	4152
436	3216	4144
437	3223	4135
438	3230	4128
439	3237	4120
440	3245	4114
441	3253	4107
442	3260	4099
443	3267	4091
444	3274	4084
445	3281	4075
446	3287	4067
447	3294	4059
448	3301	4052
449	3310	4045
450	3318	4039
451	3326	4032
452	3333	4025
453	3341	4018
454	3348	4010
455	3354	4002
456	3361	3994
457	3368	3985
458	3375	3978
459	3382	3970
460	3388	3962
461	3395	3954
462	3402	3946
463	3410	3939
464	3417	3932
465	3425	3924
466	3432	3917
467	3438	3909
468	3445	3901
469	3452	3893
470	3459	3885
471	3466	3877
472	3472	3869
473	3479	3861
474	3485	3852
475	3492	3844
476	3499	3836
477	3506	3829
478	3513	3822
479	3521	3815
480	3528	3807
481	3536	3800
482	3543	3792
483	3550	3785
484	3557	3777
485	3564	3769
486	3571	3762
487	3578	3754
488	3585	3746
489	3591	3738
490	3597	3729
491	3604	3721
492	3611	3714
493	3619	3706
494	3626	3699
495	3633	3691
496	3639	3683
497	3646	3675
498	3653	3668
499	3660	3660
500	3667	3652
501	3673	3644
502	3680	3636
503	3687	3628
504	3693	3620
505	3700	3612
506	3707	3604
507	3715	3598
508	3721	3590
509	3728	3582
510	3736	3575
511	3743	3568
512	3752	3561
513	3759	3554
514	3766	3547
515	3773	3539
516	3781	3532
517	3788	3525
518	3796	3518
519	3803	3510
520	3810	3503
521	3817	3495
522	3824	3488
523	3831	3480
524	3839	3473
525	3846	3466
526	3853	3458
527	3861	3451
528	3868	3443
529	3874	3436
530	3882	3428
531	3888	3421
532	3895	3413
533	3902	3405
534	3909	3397
535	3915	3389
536	3922	3382
537	3929	3374
538	3936	3367
539	3944	3359
540	3951	3352
541	3958	3344
542	3965	3337
543	3971	3328
544	3978	3321
545	3985	3313
546	3991	3305
547	3998	3297
548	4005	3290
549	4012	3282
550	4020	3275
551	4027	3268
552	4035	3261
553	4042	3254
554	4050	3247
555	4058	3241
556	4066	3234
557	4074	3227
558	4081	3219
559	4087	3211
560	4095	3204
561	4102	3197
562	4108	3189
563	4116	3181
564	4123	3174
565	4130	3167
566	4137	3159
567	4145	3152
568	4152	3145
569	4160	3138
570	4167	3131
571	4174	3123
572	4181	3115
573	4187	3108
574	4196	3101
575	4204	3094
576	4211	3087
577	4219	3080
578	4227	3073
579	4235	3066
