iter	RMSE
317	4.367503469
318	4.366965963
319	4.366450747
320	4.366140124
321	4.365681416
322	4.365198068
323	4.364652521
324	4.362600467
325	4.362236575
326	4.36123423
327	4.359282639
328	4.358567154
329	4.358228037
330	4.357438108
331	4.357063675
332	4.356386293
333	4.356059446
334	4.354361756
335	4.353934742
336	4.353356051
337	4.35301482
338	4.351725865
339	4.351174452
340	4.348127989
341	4.347613533
342	4.345827901
343	4.345498914
344	4.344277895
345	4.343884029
346	4.342971742
347	4.342628705
348	4.34192848
349	4.340947204
350	4.340408747
351	4.339979322
352	4.339531814
353	4.339080865
354	4.338331921
355	4.337949416
356	4.337540444
357	4.336933154
358	4.33670285
359	4.336322588
360	4.335876282
361	4.334869605
362	4.334415503
363	4.333764263
364	4.33110487
365	4.330425566
366	4.329738238
367	4.329245681
368	4.328900635
369	4.327544906
370	4.327278143
371	4.326930893
372	4.326388767
373	4.326107096
374	4.325715808
375	4.325437721
376	4.325032271
377	4.324349562
378	4.324019934
379	4.323761978
380	4.323315127
381	4.323037041
382	4.322717295
383	4.322394556
384	4.322169706
385	4.321646531
386	4.319348569
387	4.318930654
388	4.318566656
389	4.318178201
390	4.317563219
391	4.317341398
392	4.316053056
393	4.314720548
394	4.31422206
395	4.312690614
396	4.312333388
397	4.311660764
398	4.311154502
399	4.310488122
400	4.309082839
401	4.308721067
402	4.306920369
403	4.306500196
404	4.306192054
405	4.305760395
406	4.305526466
407	4.305130456
408	4.304764881
409	4.30450909
410	4.304206055
411	4.303545045
412	4.303199728
413	4.302845866
414	4.30217795
415	4.30118467
416	4.300839065
417	4.300379563
418	4.299991984
419	4.299634384
420	4.299309542
421	4.298873949
422	4.297704657
423	4.297486201
424	4.297113823
425	4.296059975
426	4.295483518
427	4.29507429
428	4.294566591
429	4.294165537
430	4.293796471
431	4.293496616
432	4.292774432
433	4.292419226
434	4.292033237
435	4.291741106
436	4.289889176
437	4.289310581
438	4.289070419
439	4.288738289
440	4.288372317
441	4.28805621
442	4.287811092
443	4.287350703
444	4.287086814
445	4.286575709
446	4.286317096
447	4.284758782
448	4.28440974
449	4.284122858
450	4.283829933
451	4.282731703
452	4.282542082
453	4.281607419
454	4.281272783
455	4.280431255
456	4.280106277
457	4.279080391
458	4.277556804
459	4.276753721
460	4.276434139
461	4.276025097
462	4.275721619
463	4.275357211
464	4.274801158
465	4.274253924
466	4.273274256
467	4.27265562
468	4.271278347
469	4.270796407
470	4.270496944
471	4.270216404
472	4.269983657
473	4.26973183
474	4.268945678
475	4.268654422
476	4.268381003
477	4.268040454
478	4.267491987
479	4.267289929
480	4.266663147
481	4.266307713
482	4.266114851
483	4.265728198
484	4.265432467
485	4.265080083
486	4.263831019
487	4.263367715
488	4.262909074
489	4.262635484
490	4.260712353
491	4.260433142
492	4.260122103
493	4.259571279
494	4.259300113
495	4.258782262
496	4.258300972
497	4.258109728
498	4.257714124
499	4.257270145
500	4.256933856
501	4.256610402
502	4.256247832
503	4.25596343
504	4.255681591
505	4.254353887
506	4.253959596
507	4.253588894
508	4.253158559
509	4.252866316
510	4.251541974
511	4.251301937
512	4.251020074
513	4.250212388
514	4.249875337
515	4.249472939
516	4.249233959
517	4.249021621
518	4.24877851
519	4.248426092
520	4.247586434
521	4.24727927
522	4.247017597
523	4.245926813
524	4.245668822
525	4.245078539
526	4.244815797
527	4.243737045
528	4.243451089
529	4.242263016
530	4.241653226
531	4.241301956
532	4.241114511
533	4.24075714
534	4.239194087
535	4.238074868
536	4.2378288
537	4.237486415
538	4.236807176
539	4.236496464
540	4.236093764
541	4.234976548
542	4.234582741
543	4.234369893
544	4.233998641
545	4.233618156
546	4.232255232
547	4.23121111
548	4.230937682
549	4.230596701
550	4.230208629
551	4.230026977
552	4.229684274
553	4.229283521
554	4.228850283
555	4.228545129
556	4.228125378
557	4.227807503
558	4.227549971
559	4.226375038
560	4.226180058
561	4.225082423
562	4.224547331
563	4.224140772
564	4.223859266
565	4.223570895
566	4.223292858
567	4.222624496
568	4.222242794
569	4.22204673
570	4.221704391
571	4.220971617
572	4.219975388
573	4.219837072
574	4.219570407
575	4.219239266
576	4.218997929
577	4.218675471
578	4.218340622
579	4.218068443
580	4.217752362
581	4.217451591
582	4.217039002
583	4.216769668
584	4.216190935
585	4.215864405
586	4.215541231
587	4.21529499
588	4.215041196
589	4.214819888
590	4.214642942
591	4.214328304
592	4.214048133
593	4.213754895
594	4.212747837
595	4.212385687
596	4.212197077
597	4.211985697
598	4.210848488
599	4.210588571
600	4.209924451
601	4.20926725
602	4.209033578
603	4.208629416
604	4.208467812
605	4.208232924
606	4.207931816
607	4.207699698
608	4.207542451
609	4.207289595
610	4.207089313
611	4.206928296
612	4.20666656
613	4.206359232
614	4.205832904
615	4.205594883
616	4.204642649
617	4.204462424
618	4.204175421
619	4.203969026
620	4.203736533
621	4.203329326
622	4.20301143
623	4.201742931
624	4.201423274
625	4.20093495
626	4.200698172
627	4.200409712
628	4.200099002
629	4.199957775
630	4.199726823
631	4.199449518
632	4.199135243
633	4.198793296
634	4.198540526
635	4.198302769
636	4.198158316
637	4.197563669
638	4.197295027
639	4.19709437
640	4.196824859
641	4.19663143
642	4.195982673
643	4.195001165
644	4.193993164
645	4.193772807
646	4.193136903
647	4.192793057
648	4.192569169
649	4.192124703
650	4.191726587
651	4.190824881
652	4.190554865
653	4.190313326
654	4.190022007
655	4.1897803
656	4.189528612
657	4.189273031
658	4.188801607
659	4.188458723
660	4.188163403
661	4.186651342
662	4.186450419
663	4.18618585
664	4.186012196
665	4.18567386
666	4.185193107
667	4.184935201
668	4.184670534
669	4.184285294
670	4.184092338
671	4.183846615
672	4.183331105
673	4.18231645
674	4.182103015
675	4.18157071
676	4.181309518
677	4.18105673
678	4.180699911
679	4.180369875
680	4.179871533
681	4.179646515
682	4.179448484
683	4.179327244
684	4.179108468
685	4.178918807
686	4.178601226
687	4.17837669
688	4.177951551
689	4.177599466
690	4.17729701
691	4.176956564
692	4.176707378
693	4.176453428
694	4.176114844
695	4.175006524
696	4.174473548
697	4.17429088
698	4.174040814
699	4.173609963
700	4.173262035
701	4.172837221
702	4.172603482
703	4.172325915
704	4.172066959
705	4.171884127
706	4.171637072
707	4.171359498
708	4.171172264
709	4.171024532
710	4.170658246
711	4.170297738
712	4.169980466
713	4.169740723
714	4.169521418
715	4.169295924
716	4.169085506
717	4.168788214
718	4.168585382
719	4.168325811
720	4.16808793
721	4.167880559
722	4.167624088
723	4.167227457
724	4.167019806
725	4.166749823
726	4.166495668
727	4.165738175
728	4.165214793
729	4.164513617
730	4.164082707
731	4.163909827
732	4.163327017
733	4.163124523
734	4.162951491
735	4.162717872
736	4.162450353
737	4.162267509
738	4.161709612
739	4.161507331
740	4.160680468
741	4.160466631
742	4.159511683
743	4.159209068
744	4.158905368
745	4.158195723
746	4.15735782
747	4.157072305
748	4.15684605
749	4.156725104
750	4.156549303
751	4.156311989
752	4.156080098
753	4.155917879
754	4.155517269
755	4.155034944
756	4.154733352
757	4.15439491
758	4.154131387
759	4.153911138
760	4.153704993
761	4.153285895
762	4.153051972
763	4.152763894
764	4.152592462
765	4.152315115
766	4.15207621
767	4.151696559
768	4.151515416
769	4.151299226
770	4.150968343
771	4.150683227
772	4.150367464
773	4.150092601
774	4.149127786
775	4.148785026
776	4.148474784
777	4.148303747
778	4.148018984
779	4.14786843
780	4.147425522
781	4.147227363
782	4.146987674
783	4.146761791
784	4.146573349
785	4.146169822
786	4.14533662
787	4.144925027
788	4.144680016
789	4.144493406
790	4.144340367
791	4.144118508
792	4.143655868
793	4.14333347
794	4.143167783
795	4.142917842
796	4.142767159
797	4.142453501
798	4.142163402
799	4.141898893
800	4.141686548
801	4.141506668
802	4.141096808
803	4.140795238
804	4.140618927
805	4.139824228
806	4.13956049
807	4.13942276
808	4.138800426
809	4.138126175
810	4.137839322
811	4.137588066
812	4.137216863
813	4.136990729
814	4.136837851
815	4.136698758
816	4.13651238
817	4.136206087
818	4.13598924
819	4.135093688
820	4.13448351
821	4.134301174
822	4.133793329
823	4.13362356
824	4.133347711
825	4.133093541
826	4.132598687
827	4.132348888
828	4.132155935
829	4.131915349
830	4.131595128
831	4.131389927
832	4.130977465
833	4.130696276
834	4.130544071
835	4.130353233
836	4.130163052
837	4.129968484
838	4.129669008
839	4.129480011
840	4.129342729
841	4.129116771
842	4.128907957
843	4.128596532
844	4.128373396
845	4.128006917
846	4.127620703
847	4.127388613
848	4.126617427
849	4.126392242
850	4.126202681
851	4.125947481
852	4.125308581
853	4.125028662
854	4.124790715
855	4.124641138
856	4.124460539
857	4.124144114
858	4.123924386
859	4.123753933
860	4.123597079
861	4.123334178
862	4.123154934
863	4.122957501
864	4.12276166
865	4.122534618
866	4.122344888
867	4.122047248
868	4.12187674
869	4.121703322
870	4.121539441
871	4.121330967
872	4.120991427
873	4.120808928
874	4.120082175
875	4.119867509
876	4.119665461
877	4.119516496
878	4.119375121
879	4.118810918
880	4.118591045
881	4.118293977
882	4.118107857
883	4.117758835
884	4.117178695
885	4.11655061
886	4.116402069
887	4.115712839
888	4.115214181
889	4.114910949
890	4.114666604
891	4.11439332
892	4.114080171
893	4.113917783
894	4.113720883
895	4.113521717
896	4.113368098
897	4.113187905
898	4.112988046
899	4.112818204
900	4.11179608
901	4.111667395
902	4.111502404
903	4.111249682
904	4.111058809
905	4.110933502
906	4.110681932
907	4.110453165
908	4.109822669
909	4.109492469
910	4.109234987
911	4.109094857
912	4.108926082
913	4.10830951
914	4.108004961
915	4.107857688
916	4.107633862
917	4.107375063
918	4.107179218
919	4.106960046
920	4.106773003
921	4.106549209
922	4.106283654
923	4.106071862
924	4.10581684
925	4.105649896
926	4.104687227
927	4.104420064
928	4.103409357
929	4.103175784
930	4.102901124
931	4.102696624
932	4.102466546
933	4.102261813
934	4.102143339
935	4.101990832
936	4.101788387
937	4.101472
938	4.101020333
939	4.100866762
940	4.100712462
941	4.100488092
942	4.100358262
943	4.100185175
944	4.100068648
945	4.09978936
946	4.099624427
947	4.09944671
948	4.0992253
949	4.098984755
950	4.098819427
951	4.098655134
952	4.0985102
953	4.098235718
954	4.097745298
955	4.097483737
956	4.097283621
957	4.097067328
958	4.096585295
959	4.096101401
960	4.095925842
961	4.095694212
962	4.095527897
963	4.095314913
964	4.095113991
965	4.094956043
966	4.094779825
967	4.094585474
968	4.094425695
969	4.094190345
970	4.094077115
971	4.093761364
972	4.093577055
973	4.093384669
974	4.092685341
975	4.091718181
976	4.091534845
977	4.091376139
978	4.091243106
979	4.090982314
980	4.090671137
981	4.090461751
982	4.090331441
983	4.090139243
984	4.089977256
985	4.08961291
986	4.089398649
987	4.089151611
988	4.089043443
989	4.088872043
990	4.088726852
991	4.088569668
992	4.088376151
993	4.088045849
994	4.087878444
995	4.087624498
996	4.087472856
997	4.087346095
998	4.087090618
999	4.086869051
